No,KSP,KPR,PRD,RVT,RCM,Y
288,7.666666667,3.75,8,7.166666667,2,7
289,0,0,0,0,0,0
290,7,6.5,8.333333333,8.166666667,8,6
291,7,1.25,5,5.333333333,5,7
292,0,0,3.333333333,0,0,0
293,6.333333333,3.75,6.333333333,5.833333333,6,5
294,7,7,7,7,7,8
295,6,2,4.333333333,3.333333333,5,6
296,3.333333333,5.5,5,5,4.5,5
297,7,10,10,10,10,0
298,2,0,1.333333333,3,4.5,6
299,5,5,5,5,5,10
300,6,7.25,7.333333333,6.833333333,4.5,7
301,8,6.25,6.666666667,6.5,6,7
302,6.333333333,5,5,5.666666667,5,7
303,6.666666667,3,9,3.833333333,7.5,10
304,6,5.75,8.333333333,8.166666667,7.5,10
305,3.333333333,0,5,2.5,5.5,7
306,8.666666667,3.25,3.666666667,4.833333333,4,10
307,5,6.25,5,5.833333333,5.5,5
308,10,2,5,6.333333333,6.5,7
309,5,2.5,5,4.5,6,7
310,10,0,0,4.5,5,10
311,10,9.75,9.666666667,9.333333333,10,10
312,7,7,6.666666667,6.333333333,7,8
313,4.666666667,5.5,6.333333333,6.166666667,5,6
314,5,5,5,4.5,5,7
315,7,5.5,5,7.166666667,6.5,7
316,5.333333333,4.75,5,6.333333333,4.5,2
317,9,7.75,8,10,10,10
318,8.666666667,8.25,8.333333333,8.333333333,9,9
319,4.333333333,3.5,5.333333333,4.833333333,5,4
320,6,6.25,5.666666667,5.333333333,6,6
321,0,1.75,0,0,0,5
322,6.333333333,4.5,7,5.833333333,6.5,8
323,10,5.5,5.666666667,5.166666667,6,10
324,5,5,3.333333333,4.833333333,5,7
325,8,2.75,5,7.333333333,7.5,10
326,5.666666667,4.5,4.333333333,8.166666667,5,8
327,7,1.5,8,4.833333333,2.5,7
328,7,5.25,6,5.5,5.5,6
329,6,1.75,3,9,4,10
330,9.666666667,0,3.333333333,2.833333333,2.5,8
331,6,6,6,6,6,10
332,7.666666667,7.5,7.666666667,7.5,6,8
333,8.333333333,2.25,7,7.333333333,5.5,9
334,9,0,5.333333333,5.666666667,6,9
335,7.666666667,5.25,4.666666667,4.333333333,4,8
336,9.333333333,7.5,9,7.833333333,9.5,9
337,7,5,5,8,6.5,8
338,5,4.25,6.333333333,5.333333333,7,3
339,6.666666667,7.75,7.666666667,7.333333333,6.5,10
340,7,3.75,4.666666667,4.833333333,4,7
341,7.666666667,2.75,5,6.333333333,6.5,10
342,5.333333333,0,5.666666667,4,5,6
343,7,3.5,3,6.833333333,5,4
344,2,0,5.333333333,5,5,9
345,10,6,6.666666667,7.666666667,8,10
346,6.666666667,2,9,8.833333333,7.5,10
347,8.333333333,1,2.333333333,5,5.5,10
348,9.333333333,8,8.666666667,6.333333333,6,10
349,6.666666667,6.5,6.333333333,6.833333333,7,8
350,2,0,1,3,2,5
351,4,3.5,3.333333333,2.333333333,2.5,3
352,1,0.75,1,1,1.5,1
353,5,5,5,4.833333333,5,8
354,10,7.75,10,7.666666667,8,10
355,10,8,10,7,7,10
356,5,5,5,4.666666667,5,5
357,9.333333333,5,6.666666667,6,5.5,10
358,5.666666667,1.25,5,2.833333333,5,8
359,9,3,6,6.166666667,5.5,9
360,8.666666667,4.75,8,6.166666667,6.5,10
361,8,8.5,8.666666667,8.333333333,8,9
362,6.666666667,4.25,5,5,5,6
363,10,3.75,5,5,7.5,10
364,6,3.75,8,4.166666667,5,8
365,6,4.75,6,5.666666667,5,5
366,8,4.5,4.333333333,4.833333333,4.5,7
367,4,0.5,5.666666667,6.166666667,5.5,8
368,5.666666667,5.75,4.333333333,5.5,4.5,6
369,6.333333333,3,5,4.333333333,4,6
370,5.333333333,4,4.666666667,5,5,8
371,8,7.75,6,7.333333333,7,9
372,10,2.5,0,1.666666667,0,10
373,5,1,5.666666667,5.666666667,5.5,7
374,6,6,6,5.833333333,6,7
375,2,2,2,2.166666667,2,5
376,6.333333333,6.5,7,6.5,7,6
377,5,0,0,2.833333333,2,10
378,6.666666667,0,3.333333333,4.166666667,5,8
379,8,5.5,6,7.666666667,6.5,8
380,10,0,7,6.833333333,4.5,10
381,5.333333333,4,4.666666667,6,4.5,7
382,6.666666667,6.5,7.333333333,6.5,6.5,8
383,5,6.25,6.333333333,6.5,7,8
384,6.333333333,4.75,6,9.666666667,6.5,7
385,7.333333333,8.25,8.333333333,8.666666667,8.5,10
386,5.666666667,5,6,4.833333333,5,8
387,7,6.5,4.666666667,5.666666667,8,8
388,6.666666667,2.25,2,3.5,4,7
389,6.666666667,1.75,6.333333333,6.5,6,9
390,7,5,5,7,5,7
391,6.666666667,7,6.666666667,6.5,6.5,7
392,7.333333333,5.5,5.333333333,4.166666667,6,8
393,5,5,4,4.166666667,5,8
394,7,5.5,7,7,6.5,7
395,5,6.25,6.666666667,5.333333333,5,7
396,10,10,10,5.833333333,3.5,10
397,5,0.25,1.333333333,2.5,4.5,4
398,6,5.75,8,5.666666667,7.5,5
399,6.666666667,7.5,6.666666667,6.666666667,7.5,10
400,8,7.5,7.333333333,7.333333333,7.5,9
401,8,3.75,6.333333333,8.333333333,5,10
402,6.666666667,3,4.666666667,8.333333333,5,9
403,6,6,6.666666667,4.5,4.5,5
404,3.333333333,5,10,10,10,10
405,10,0,5,5.5,2.5,10
406,0,2,3.666666667,9,6.5,10
407,5.333333333,3.75,5,6.166666667,8.5,10
408,10,10,9.666666667,9.833333333,9.5,10
409,10,10,3.333333333,0,5,10
410,7.666666667,4.5,6.333333333,8,7.5,8
411,10,10,10,10,10,10
412,6.666666667,4,5.666666667,6.5,6.5,10
413,8.333333333,6.5,7.333333333,6.833333333,7,8
414,3.666666667,3,3,3.333333333,4,5
415,7.333333333,2,5,4.833333333,5,7
416,10,2.75,5.666666667,7.5,6.5,10
417,7.666666667,0.75,5,4.5,6,7
